Rk,Name,Age,Yrs,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,WHIP,H9,HR9,BB9,SO9,SO/W,ERA+,Name-additional
1,Paul Abbott,35,10,40,26,0.606,4.68,142,93,17,1,0,0,624.2,576,345,325,79,335,16,450,17,0,31,2736,96,1.458,8.3,1.1,4.8,6.5,1.34,96,abbotpa01
2,Jose Acevedo,25,3,11,9,0.55,5.22,29,27,1,1,0,0,146.2,146,90,85,28,52,3,105,6,0,6,632,86,1.35,9,1.7,3.2,6.4,2.02,86,acevejo01
3,Juan Acevedo,33,8,28,40,0.412,4.33,367,34,165,0,0,53,570,597,316,274,72,226,34,350,28,4,20,2488,106,1.444,9.4,1.1,3.6,5.5,1.55,106,aceveju01
4,Terry Adams,30,9,45,56,0.446,3.97,497,41,175,0,0,39,786,781,390,347,50,342,28,631,11,6,46,3408,105,1.429,8.9,0.6,3.9,7.2,1.85,105,adamste01
5,Jon Adkins,25,1,0,0,,4.82,4,0,2,0,0,0,9.1,8,5,5,1,7,0,3,1,0,0,42,99,1.607,7.7,1,6.8,2.9,0.43,99,adkinjo01
6,Jeremy Affeldt*,24,2,10,10,0.5,4.2,70,25,9,0,0,4,203.2,211,99,95,20,75,5,165,8,4,7,886,117,1.404,9.3,0.9,3.3,7.3,2.2,117,affelje01
7,Kurt Ainsworth,24,3,6,7,0.462,3.75,22,15,4,0,0,0,96,97,44,40,10,41,0,70,3,0,3,418,111,1.438,9.1,0.9,3.8,6.6,1.71,111,ainswku01
8,Antonio Alfonseca,31,7,23,30,0.434,4.11,400,0,264,0,0,121,446.1,489,216,204,42,174,30,310,19,2,6,1969,103,1.485,9.9,0.8,3.5,6.3,1.78,103,alfonan01
9,Armando Almanza*,30,5,13,12,0.52,4.79,235,0,43,0,0,2,199,175,114,106,30,126,11,217,5,3,7,878,89,1.513,7.9,1.4,5.7,9.8,1.72,89,almanar01
10,Carlos Almanzar,29,6,6,10,0.375,5.02,137,1,43,0,0,0,161.1,176,94,90,25,56,8,123,8,0,5,713,87,1.438,9.8,1.4,3.1,6.9,2.2,87,almanca01
11,Edwin Almonte,26,1,0,0,,11.12,12,0,3,0,0,0,11.1,21,15,14,3,5,1,7,0,0,1,57,39,2.294,16.7,2.4,4,5.6,1.4,39,almoned01
12,Hector Almonte,27,2,1,4,0.2,6.27,50,0,15,0,0,0,51.2,63,36,36,6,30,5,40,2,0,8,243,73,1.8,11,1,5.2,7,1.33,73,almonhe01
13,Juan Alvarez*,29,4,0,5,0,5.22,80,0,19,0,0,0,60.1,58,36,35,12,40,2,42,4,1,2,271,91,1.624,8.7,1.8,6,6.3,1.05,91,alvarju01
14,Victor Alvarez*,26,2,0,2,0,7.31,9,1,4,0,0,0,16,18,13,13,2,8,0,10,1,0,0,71,56,1.625,10.1,1.1,4.5,5.6,1.25,56,alvarvi01
15,Wilson Alvarez*,33,12,94,82,0.534,3.93,294,246,9,12,5,3,1603,1484,786,700,171,767,27,1212,45,4,27,6910,114,1.404,8.3,1,4.3,6.8,1.58,114,alvarwi01
16,Brian Anderson*,31,11,75,69,0.521,4.58,250,213,9,10,3,1,1350.1,1487,759,687,224,280,23,636,22,27,20,5654,100,1.309,9.9,1.5,1.9,4.2,2.27,100,anderbr02
17,Jason Anderson,24,1,1,0,1,4.88,28,0,14,0,0,0,31.1,33,19,17,5,19,5,16,3,0,3,147,91,1.66,9.5,1.4,5.5,4.6,0.84,91,anderja01
18,Jimmy Anderson*,27,5,25,47,0.347,5.43,110,96,4,3,0,0,559,653,362,337,58,234,24,235,24,1,20,2517,82,1.587,10.5,0.9,3.8,3.8,1,82,anderji02
19,Matt Anderson,26,6,15,7,0.682,4.89,245,0,105,0,0,26,246.2,230,150,134,27,146,15,220,9,1,20,1100,94,1.524,8.4,1,5.3,8,1.51,94,anderma01
20,Rick Ankiel*,23,3,12,10,0.545,3.84,46,41,1,0,0,1,232,188,113,99,30,129,2,260,10,2,19,996,121,1.366,7.3,1.2,5,10.1,2.02,121,ankieri01
21,Kevin Appier,35,15,169,136,0.554,3.72,412,400,2,34,12,0,2591.1,2418,1160,1072,232,930,51,1992,79,7,104,10936,121,1.292,8.4,0.8,3.2,6.9,2.14,121,appieke01
22,Tony Armas,25,5,30,37,0.448,4.11,86,86,0,0,0,0,493,436,250,225,54,229,21,391,21,3,28,2111,109,1.349,8,1,4.2,7.1,1.71,109,armasto02
23,Bronson Arroyo,26,4,9,14,0.391,5.15,59,29,5,1,0,1,204.1,227,134,117,23,89,17,125,9,2,7,917,89,1.546,10,1,3.9,5.5,1.4,89,arroybr01
24,Miguel Asencio,22,2,6,8,0.429,5.14,39,29,7,1,0,0,171.2,190,102,98,21,85,2,85,6,0,8,772,96,1.602,10,1.1,4.5,4.5,1,96,asencmi01
25,Andy Ashby,35,13,98,110,0.471,4.13,307,285,8,21,7,1,1808.2,1856,922,829,205,540,49,1171,61,4,58,7685,99,1.325,9.2,1,2.7,5.8,2.17,99,ashbyan01
26,Pedro Astacio,34,12,118,109,0.52,4.58,346,303,9,30,11,0,1971,2037,1073,1004,258,653,47,1538,108,16,52,8482,100,1.365,9.3,1.2,3,7,2.36,100,astacpe01
27,Jeff Austin,26,3,2,3,0.4,6.75,38,7,15,0,0,0,65.1,69,50,49,13,41,3,55,1,0,5,301,68,1.684,9.5,1.8,5.6,7.6,1.34,68,austije01
28,Steve Avery*,33,11,96,83,0.536,4.19,297,261,11,14,6,0,1554.2,1529,800,723,148,569,27,980,26,9,47,6609,100,1.349,8.9,0.9,3.3,5.7,1.72,100,averyst01
29,Luis Ayala,25,1,10,3,0.769,2.92,65,0,24,0,0,5,71,65,27,23,8,13,3,46,5,0,1,288,155,1.099,8.2,1,1.6,5.8,3.54,155,ayalalu01
30,Manny Aybar,31,7,17,18,0.486,5.05,186,28,49,0,0,3,365.2,382,227,205,45,165,9,246,15,5,13,1635,88,1.496,9.4,1.1,4.1,6.1,1.49,88,aybarma01
31,Brandon Backe,25,2,1,1,0.5,5.77,37,0,12,0,0,0,57.2,55,38,37,9,32,1,42,4,0,3,253,77,1.509,8.6,1.4,5,6.6,1.31,77,backebr01
32,Mike Bacsik*,25,3,4,4,0.5,6.12,19,12,2,1,0,0,82.1,104,60,56,13,30,4,46,5,0,0,377,68,1.628,11.4,1.4,3.3,5,1.53,68,bacsimi02
33,Danys Báez,25,3,17,23,0.425,3.92,155,26,63,1,0,31,291.1,259,142,127,28,125,9,248,16,1,14,1246,113,1.318,8,0.9,3.9,7.7,1.98,113,baezda01
34,James Baldwin,31,9,79,70,0.53,5.02,236,200,11,7,2,1,1260,1376,756,703,192,465,17,814,48,7,55,5530,92,1.461,9.8,1.4,3.3,5.8,1.75,92,baldwja01
35,John Bale*,29,4,2,2,0.5,4.69,27,9,3,0,0,0,78.2,75,48,41,11,34,2,68,5,0,2,340,92,1.386,8.6,1.3,3.9,7.8,2,92,balejo01
36,Grant Balfour,25,2,1,0,1,5.02,19,1,7,0,0,0,28.2,26,16,16,6,17,2,32,0,0,0,129,92,1.5,8.2,1.9,5.3,10,1.88,92,balfogr01
37,Miguel Batista,32,9,42,50,0.457,4.39,254,121,37,5,2,1,902,903,497,440,84,384,23,602,40,3,41,3937,104,1.427,9,0.8,3.8,6,1.57,104,batismi01
38,Rick Bauer,26,3,6,12,0.333,4.3,97,7,25,0,0,1,178,177,99,85,24,69,7,104,9,0,10,760,102,1.382,8.9,1.2,3.5,5.3,1.51,102,bauerri01
39,Rod Beck,34,12,38,43,0.469,3.21,678,0,509,0,0,286,744,676,290,265,89,182,33,629,20,3,22,3062,128,1.153,8.2,1.1,2.2,7.6,3.46,128,beckro01
40,Josh Beckett,23,3,17,17,0.5,3.32,51,48,1,0,0,0,273.2,239,119,101,25,111,6,289,4,1,12,1154,125,1.279,7.9,0.8,3.7,9.5,2.6,125,beckejo02
