Rk,Name,Age,Yrs,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,WHIP,H9,HR9,BB9,SO9,SO/W,ERA+,Name-additional
1,Paul Abbott,32,7,21,17,0.553,4.29,97,53,16,0,0,0,387.2,344,201,185,45,202,9,278,7,0,16,1675,107,1.408,8,1,4.7,6.5,1.38,107,abbotpa01
2,Juan Acevedo,30,5,24,25,0.49,4.45,204,34,72,0,0,19,396.2,409,216,196,56,150,18,232,19,4,13,1704,103,1.409,9.3,1.3,3.4,5.3,1.55,103,aceveju01
3,Terry Adams,27,6,25,35,0.417,3.93,342,0,139,0,0,39,415,409,208,181,31,207,18,343,3,4,27,1826,111,1.484,8.9,0.7,4.5,7.4,1.66,111,adamste01
4,Rick Aguilera,38,16,86,81,0.515,3.57,732,89,557,10,0,318,1291.1,1233,568,512,138,351,42,1030,36,10,53,5391,118,1.227,8.6,1,2.4,7.2,2.93,118,aguilri01
5,Scott Aldred*,32,9,20,39,0.339,6.02,229,67,29,1,0,1,499.2,581,356,334,78,230,20,312,19,2,30,2267,78,1.623,10.5,1.4,4.1,5.6,1.36,78,aldresc01
6,Antonio Alfonseca,28,4,14,20,0.412,3.95,216,0,140,0,0,74,244,272,115,107,24,96,21,158,9,2,3,1075,108,1.508,10,0.9,3.5,5.8,1.65,108,alfonan01
7,Armando Almanza*,27,2,4,3,0.571,4.06,81,0,10,0,0,0,62,46,31,28,4,52,7,66,3,1,1,280,109,1.581,6.7,0.6,7.5,9.6,1.27,109,almanar01
8,Carlos Almanzar,26,4,6,8,0.429,5.37,119,0,32,0,0,0,139,156,86,83,23,49,6,110,8,0,4,622,81,1.475,10.1,1.5,3.2,7.1,2.24,81,almanca01
9,Hector Almonte,24,1,0,2,0,4.2,15,0,6,0,0,0,15,20,7,7,1,6,2,8,0,0,2,67,105,1.733,12,0.6,3.6,4.8,1.33,105,almonhe01
10,Juan Alvarez*,26,2,0,1,0,10,19,0,4,0,0,0,9,15,10,10,3,11,1,6,0,0,2,52,53,2.889,15,3,11,6,0.55,53,alvarju01
11,Wilson Alvarez*,30,10,86,77,0.528,3.96,250,224,4,11,4,1,1433,1324,712,631,153,708,23,1074,36,4,24,6194,114,1.418,8.3,1,4.4,6.7,1.52,114,alvarwi01
12,Brian Anderson*,28,8,51,38,0.573,4.63,154,136,7,7,2,1,863.1,945,470,444,149,175,15,413,16,20,13,3603,100,1.297,9.9,1.6,1.8,4.3,2.36,100,anderbr02
13,Jimmy Anderson*,24,2,7,12,0.368,5.04,40,30,2,1,0,0,173.1,194,109,97,15,74,4,86,8,0,10,775,92,1.546,10.1,0.8,3.8,4.5,1.16,92,anderji02
14,Matt Anderson,23,3,10,4,0.714,4.55,148,0,46,0,0,1,156.1,132,87,79,19,111,9,147,6,0,9,698,105,1.554,7.6,1.1,6.4,8.5,1.32,105,anderma01
15,Clayton Andrews*,22,1,1,2,0.333,10.02,8,2,1,0,0,0,20.2,34,23,23,6,9,0,12,0,1,0,102,51,2.081,14.8,2.6,3.9,5.2,1.33,51,andrecl01
