Rk,Name,Age,Yrs,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,WHIP,H9,HR9,BB9,SO9,SO/W,ERA+,Name-additional
1,David Aardsma,26,4,10,3,0.769,5.29,128,0,28,0,0,0,144.2,149,89,85,18,90,5,139,9,0,6,665,88,1.652,9.3,1.1,5.6,8.6,1.54,88,aardsda01
2,Winston Abreu,31,2,0,1,0,6.81,33,0,5,0,0,0,38.1,47,31,29,8,15,2,32,1,1,2,175,64,1.617,11,1.9,3.5,7.5,2.13,64,abreuwi01
3,Jeremy Accardo,26,4,7,16,0.304,3.99,173,0,88,0,0,37,178.1,168,84,79,14,57,10,132,5,2,6,752,112,1.262,8.5,0.7,2.9,6.7,2.32,112,accarje01
4,Alfredo Aceves,25,1,1,0,1,2.4,6,4,1,0,0,0,30,25,8,8,4,10,0,16,0,0,1,120,185,1.167,7.5,1.2,3,4.8,1.6,185,aceveal01
5,Manny Acosta,27,2,4,6,0.4,3.17,67,0,27,0,0,3,76.2,61,31,27,9,40,6,53,1,0,6,319,134,1.317,7.2,1.1,4.7,6.2,1.33,134,acostma01
6,Mike Adams,29,4,4,7,0.364,3.02,115,0,31,0,0,1,134,115,46,45,15,45,5,128,2,0,3,558,136,1.194,7.7,1,3,8.6,2.84,136,adamsmi03
7,Nick Adenhart,21,1,1,0,1,9,3,3,0,0,0,0,12,18,12,12,0,13,0,4,0,0,2,63,51,2.583,13.5,0,9.8,3,0.31,51,adenhni01
8,Jon Adkins,30,6,5,5,0.5,4.54,119,0,40,0,0,0,138.2,155,75,70,18,54,10,81,5,0,1,605,98,1.507,10.1,1.2,3.5,5.3,1.5,98,adkinjo01
9,Jeremy Affeldt*,29,7,26,28,0.481,4.55,360,42,91,0,0,18,564.1,585,319,285,54,249,21,427,19,8,30,2498,105,1.478,9.3,0.9,4,6.8,1.71,105,affelje01
10,Jonathan Albaladejo,25,2,1,2,0.333,2.89,21,0,3,0,0,0,28,22,9,9,2,8,0,25,1,0,0,109,153,1.071,7.1,0.6,2.6,8,3.13,153,albaljo01
11,Matt Albers,25,3,7,16,0.304,5.2,63,23,7,0,0,0,174.2,187,108,101,23,79,7,108,9,0,8,782,86,1.523,9.6,1.2,4.1,5.6,1.37,86,alberma01
12,Greg Aquino,30,5,2,4,0.333,5.4,135,0,62,0,0,17,138.1,150,93,83,22,72,6,132,12,1,10,635,86,1.605,9.8,1.4,4.7,8.6,1.83,86,aquingr01
13,Alberto Arias,24,2,2,1,0.667,4.34,21,2,4,0,0,0,29,31,14,14,2,15,0,16,2,0,1,127,109,1.586,9.6,0.6,4.7,5,1.07,109,ariasal02
14,Tony Armas,30,10,53,65,0.449,4.65,185,167,7,0,0,0,925.2,891,519,478,122,431,41,680,51,6,43,4055,94,1.428,8.7,1.2,4.2,6.6,1.58,94,armasto02
15,Jose Arredondo,24,1,10,2,0.833,1.62,52,0,10,0,0,0,61,42,15,11,3,22,0,55,1,0,1,244,275,1.049,6.2,0.4,3.2,8.1,2.5,275,arredjo01
16,Bronson Arroyo,31,9,71,70,0.504,4.31,229,193,6,6,1,1,1239.2,1284,672,593,150,385,38,870,67,3,33,5343,107,1.346,9.3,1.1,2.8,6.3,2.26,107,arroybr01
17,Jose Ascanio,23,2,1,1,0.5,5.82,19,0,7,0,0,0,21.2,25,16,14,4,10,3,16,1,0,0,104,78,1.615,10.4,1.7,4.2,6.6,1.6,78,ascanjo01
18,Scott Atchison,32,3,2,3,0.4,4.1,53,0,14,0,0,0,68,68,31,31,10,25,2,70,1,0,4,291,110,1.368,9,1.3,3.3,9.3,2.8,110,atchisc01
19,Luis Ayala,30,5,28,34,0.452,3.44,339,0,106,0,0,18,350.1,361,149,134,35,78,13,227,21,1,6,1464,127,1.253,9.3,0.9,2,5.8,2.91,127,ayalalu01
20,Brandon Backe,30,7,31,29,0.517,5.09,140,78,20,1,1,0,512.1,553,298,290,82,232,8,350,18,2,13,2267,84,1.532,9.7,1.4,4.1,6.1,1.51,84,backebr01
