Rk,Name,Age,Yrs,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,WHIP,H9,HR9,BB9,SO9,SO/W,ERA+,Name-additional
1,David Aardsma,23,1,1,0,1,6.75,11,0,5,0,0,0,10.2,20,8,8,1,10,0,5,2,0,0,61,67,2.813,16.9,0.8,8.4,4.2,0.5,67,aardsda01
2,Jeremy Accardo,23,1,1,5,0.167,3.94,28,0,7,0,0,0,29.2,26,13,13,2,9,1,16,1,0,1,124,110,1.18,7.9,0.6,2.7,4.9,1.78,110,accarje01
3,Jose Acevedo,27,5,18,25,0.419,5.74,104,59,11,1,0,1,368.1,420,246,235,71,113,14,253,12,2,9,1628,77,1.447,10.3,1.7,2.8,6.2,2.24,77,acevejo01
4,Mike Adams,26,2,2,4,0.333,3.26,59,0,20,0,0,1,66.1,62,25,24,7,24,3,53,2,0,3,286,135,1.296,8.4,0.9,3.3,7.2,2.21,135,adamsmi03
5,Terry Adams,32,11,51,62,0.451,4.17,574,41,201,0,0,42,869.1,890,448,403,63,380,33,691,17,6,54,3801,101,1.461,9.2,0.7,3.9,7.2,1.82,101,adamste01
6,Jon Adkins,27,3,2,4,0.333,5.08,59,0,25,0,0,0,79.2,96,48,45,14,31,5,48,3,0,1,355,93,1.594,10.8,1.6,3.5,5.4,1.55,93,adkinjo01
7,Jeremy Affeldt*,26,4,13,16,0.448,4.53,157,33,48,0,0,17,329.2,358,183,166,29,136,9,253,11,7,16,1462,106,1.498,9.8,0.8,3.7,6.9,1.86,106,affelje01
8,Antonio Alfonseca,33,9,30,35,0.462,3.95,512,0,276,0,0,121,547.1,589,255,240,49,216,39,371,21,2,12,2400,107,1.471,9.7,0.8,3.6,6.1,1.72,107,alfonan01
9,Armando Almanza*,32,7,14,13,0.519,4.82,254,0,49,0,0,2,214.2,189,123,115,34,136,13,232,6,4,8,951,89,1.514,7.9,1.4,5.7,9.7,1.71,89,almanar01
10,Carlos Almanzar,31,8,13,13,0.5,4.82,210,1,63,0,0,0,239,252,134,128,35,82,12,170,13,0,10,1044,95,1.397,9.5,1.3,3.1,6.4,2.07,95,almanca01
11,Abe Alvarez*,22,2,0,1,0,11.05,3,1,1,0,0,0,7.1,14,9,9,3,5,0,3,0,0,0,38,47,2.591,17.2,3.7,6.1,3.7,0.6,47,alvarab01
12,Wilson Alvarez*,35,14,102,92,0.526,3.96,355,263,18,12,5,4,1747.2,1624,857,769,190,805,29,1330,50,4,28,7518,112,1.39,8.4,1,4.1,6.8,1.65,112,alvarwi01
13,Brian Anderson*,33,13,82,83,0.497,4.74,291,245,11,12,4,1,1547,1743,906,814,264,337,28,723,23,28,22,6532,97,1.345,10.1,1.5,2,4.2,2.15,97,anderbr02
14,Jason Anderson,26,3,2,0,1,6.39,32,0,15,0,0,0,38,38,29,27,6,30,7,19,3,0,3,182,70,1.789,9,1.4,7.1,4.5,0.63,70,anderja01
15,Matt Anderson,28,7,15,7,0.682,5.19,257,0,111,0,0,26,256.2,249,167,148,30,157,15,224,11,1,20,1162,89,1.582,8.7,1.1,5.5,7.9,1.43,89,anderma01
16,Greg Aquino,27,2,0,3,0,5.27,69,0,37,0,0,17,66.2,66,44,39,11,34,3,60,6,1,6,302,86,1.5,8.9,1.5,4.6,8.1,1.76,86,aquingr01
17,Tony Armas,27,7,39,48,0.448,4.32,121,121,0,0,0,0,666.1,602,348,320,83,328,31,504,30,5,34,2883,102,1.396,8.1,1.1,4.4,6.8,1.54,102,armasto02
18,Bronson Arroyo,28,6,33,33,0.5,4.59,126,90,6,1,0,1,588.1,611,349,300,62,190,23,367,43,3,17,2559,101,1.361,9.3,0.9,2.9,5.6,1.93,101,arroybr01
19,Miguel Asencio,24,2,6,8,0.429,5.14,39,29,7,1,0,0,171.2,190,102,98,21,85,2,85,6,0,8,772,96,1.602,10,1.1,4.5,4.5,1,96,asencmi01
20,Ezequiel Astacio,25,1,3,6,0.333,5.67,22,14,5,0,0,0,81,100,56,51,23,25,2,66,1,1,4,366,75,1.543,11.1,2.6,2.8,7.3,2.64,75,astacez01
21,Pedro Astacio,36,14,124,119,0.51,4.61,375,326,11,30,11,0,2106.1,2183,1149,1080,277,695,51,1622,110,17,59,9065,99,1.366,9.3,1.2,3,6.9,2.33,99,astacpe01
22,Scott Atchison,29,2,2,3,0.4,4.1,31,0,10,0,0,0,37.1,36,17,17,5,15,2,45,0,0,2,160,110,1.366,8.7,1.2,3.6,10.8,3,110,atchisc01
23,Luis Ayala,27,3,24,22,0.522,2.75,214,0,70,0,0,8,232.1,232,80,71,21,42,9,149,16,1,4,948,160,1.179,9,0.8,1.6,5.8,3.55,160,ayalalu01
24,Manny Aybar,33,8,17,18,0.486,5.11,208,28,53,0,0,3,391,413,244,222,49,172,10,273,16,5,13,1749,86,1.496,9.5,1.1,4,6.3,1.59,86,aybarma01
25,Brandon Backe,27,4,16,12,0.571,4.86,96,34,20,1,1,0,274,281,153,148,38,126,6,193,9,2,9,1199,89,1.485,9.2,1.2,4.1,6.3,1.53,89,backebr01
26,Mike Bacsik*,27,4,5,5,0.5,5.88,22,15,2,1,0,0,98,120,68,64,15,31,4,52,7,0,0,440,73,1.541,11,1.4,2.8,4.8,1.68,73,bacsimi02
27,Cha-Seung Baek,25,1,2,4,0.333,5.52,7,5,2,0,0,0,31,35,23,19,5,11,1,20,2,0,2,139,82,1.484,10.2,1.5,3.2,5.8,1.82,82,baekch01
28,Danys Báez,27,5,26,31,0.456,3.69,284,26,186,1,0,102,431.2,385,200,177,41,184,13,351,25,2,17,1849,120,1.318,8,0.9,3.8,7.3,1.91,120,baezda01
29,Jeff Bajenaru,27,2,0,1,0,9.24,13,0,7,0,0,0,12.2,19,13,13,2,6,1,11,0,0,1,62,53,1.974,13.5,1.4,4.3,7.8,1.83,53,bajenje01
