Rk,Name,Age,Yrs,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,WHIP,H9,HR9,BB9,SO9,SO/W,ERA+,Name-additional
30,Scott Baker,23,1,3,3,0.5,3.35,10,9,0,0,0,0,53.2,48,21,20,5,14,0,32,0,0,0,217,133,1.155,8,0.8,2.3,5.4,2.29,133,bakersc02
31,James Baldwin,33,11,79,74,0.516,5.01,266,202,24,7,2,2,1322.2,1443,794,737,203,486,19,844,52,8,57,5804,92,1.458,9.8,1.4,3.3,5.7,1.74,92,baldwja01
32,John Bale*,31,4,2,2,0.5,4.69,27,9,3,0,0,0,78.2,75,48,41,11,34,2,68,5,0,2,340,92,1.386,8.6,1.3,3.9,7.8,2,92,balejo01
33,Grant Balfour,27,3,5,1,0.833,4.63,55,1,21,0,0,0,68,61,35,35,10,38,3,74,2,0,3,301,102,1.456,8.1,1.3,5,9.8,1.95,102,balfogr01
34,Cliff Bartosh*,25,2,1,2,0.333,5.08,53,0,9,0,0,0,39,45,23,22,11,22,0,40,2,1,0,182,88,1.718,10.4,2.5,5.1,9.2,1.82,88,bartocl01
35,Miguel Batista,34,11,57,71,0.445,4.44,363,152,106,7,3,37,1175.1,1189,651,580,115,507,29,760,45,3,56,5135,104,1.443,9.1,0.9,3.9,5.8,1.5,104,batismi01
36,Rick Bauer,28,5,8,13,0.381,4.58,125,9,34,0,0,1,240,239,139,122,30,93,7,146,13,0,11,1030,97,1.383,9,1.1,3.5,5.5,1.57,97,bauerri01
37,Denny Bautista,24,2,2,6,0.25,7.03,14,12,0,0,0,0,65.1,80,51,51,5,30,1,42,5,2,6,302,66,1.684,11,0.7,4.1,5.8,1.4,66,bautide01
38,Jonah Bayliss,24,1,0,0,,4.63,11,0,7,0,0,0,11.2,7,6,6,2,4,0,10,2,0,0,48,98,0.943,5.4,1.5,3.1,7.7,2.5,98,baylijo01
39,Yorman Bazardo,20,1,0,0,,21.6,1,0,0,0,0,0,1.2,5,5,4,0,2,0,2,0,0,1,12,23,4.2,27,0,10.8,10.8,1,23,bazaryo01
40,Colter Bean,28,1,0,0,,4.5,1,0,1,0,0,0,2,1,1,1,0,2,0,2,0,0,0,9,111,1.5,4.5,0,9,9,1,111,beanco01
41,Josh Beckett,25,5,41,34,0.547,3.46,106,103,1,3,2,0,609,529,266,234,55,223,11,607,17,1,22,2536,118,1.235,7.8,0.8,3.3,9,2.72,118,beckejo02
42,Erik Bedard*,26,3,12,18,0.4,4.31,53,50,0,0,0,0,279.2,290,150,134,23,128,2,247,12,3,11,1243,103,1.495,9.3,0.7,4.1,7.9,1.93,103,bedarer01
43,Joe Beimel*,28,5,10,19,0.345,5.16,174,23,31,0,0,0,275.2,311,168,158,30,133,23,158,14,1,6,1242,86,1.611,10.2,1,4.3,5.2,1.19,86,beimejo01
44,Matt Belisle,25,2,5,9,0.357,4.48,66,5,19,0,0,1,94.1,111,54,47,12,28,6,65,7,0,3,421,96,1.473,10.6,1.1,2.7,6.2,2.32,96,belisma01
45,Heath Bell,27,2,1,5,0.167,4.82,59,0,14,0,0,0,71,78,39,38,8,19,3,70,1,1,0,300,87,1.366,9.9,1,2.4,8.9,3.68,87,bellhe01
46,Rob Bell,28,6,30,34,0.469,5.69,121,108,7,2,0,0,633,684,428,400,118,264,8,393,21,0,40,2811,81,1.498,9.7,1.7,3.8,5.6,1.49,81,bellro01
47,Francis Beltran,25,2,2,2,0.5,5.87,56,0,17,0,0,1,61.1,61,42,40,13,43,2,59,2,0,4,286,76,1.696,9,1.9,6.3,8.7,1.37,76,beltrfr01
48,Armando Benitez,32,12,34,36,0.486,2.92,658,0,468,0,0,263,684,453,239,222,78,351,28,849,15,2,16,2828,150,1.175,6,1,4.6,11.2,2.42,150,benitar01
49,Jeff Bennett,25,1,1,5,0.167,4.79,60,0,20,0,0,0,71.1,78,43,38,12,26,2,45,2,0,6,316,91,1.458,9.8,1.5,3.3,5.7,1.73,91,benneje01
50,Joaquin Benoit,27,5,19,19,0.5,5.17,103,55,11,0,0,1,384.2,380,230,221,60,181,2,323,18,1,14,1718,94,1.458,8.9,1.4,4.2,7.6,1.78,94,benoijo01
51,Kris Benson,30,6,57,61,0.483,4.25,165,165,0,5,2,0,1024.1,1042,544,484,111,365,35,699,34,2,26,4418,104,1.374,9.2,1,3.2,6.1,1.92,104,bensokr01
52,Chad Bentz*,25,2,0,3,0,7.58,40,0,5,0,0,0,29.2,31,26,25,7,23,3,18,2,0,1,140,61,1.82,9.4,2.1,7,5.5,0.78,61,bentzch01
53,Jason Bergmann,23,1,2,0,1,2.75,15,1,4,0,0,0,19.2,14,6,6,1,11,1,21,2,0,0,85,151,1.271,6.4,0.5,5,9.6,1.91,151,bergmja01
54,Adam Bernero,28,6,10,26,0.278,5.91,146,34,34,0,0,0,361,408,250,237,55,131,8,235,20,1,11,1608,75,1.493,10.2,1.4,3.3,5.9,1.79,75,bernead01
55,Rafael Betancourt,30,3,11,11,0.5,3.08,155,0,46,0,0,6,172.1,155,66,59,17,48,10,185,1,1,6,712,140,1.178,8.1,0.9,2.5,9.7,3.85,140,betanra01
56,Travis Blackley*,22,1,1,3,0.25,10.04,6,6,0,0,0,0,26,35,31,29,9,22,0,16,1,1,3,134,45,2.192,12.1,3.1,7.6,5.5,0.73,45,blacktr01
57,Joe Blanton,24,2,12,12,0.5,3.61,36,33,1,2,0,0,209.1,184,91,84,24,69,3,122,5,2,4,865,121,1.209,7.9,1,3,5.2,1.77,121,blantjo01
58,Jeremy Bonderman,22,3,31,45,0.408,4.98,95,89,0,6,2,0,535,560,320,296,68,188,7,421,18,3,24,2321,87,1.398,9.4,1.1,3.2,7.1,2.24,87,bondeje01
59,Chris Booker,28,1,0,0,,31.5,3,0,1,0,0,0,2,6,8,7,2,4,0,2,0,0,0,15,16,5,27,9,18,9,0.5,16,bookech01
60,Chris Bootcheck,26,2,0,2,0,5.59,9,3,3,0,0,1,29,35,20,18,6,10,1,15,0,0,1,132,79,1.552,10.9,1.9,3.1,4.7,1.5,79,bootcch01
61,Dave Borkowski,28,4,5,13,0.278,6.33,51,21,11,0,0,0,167.2,192,129,118,23,77,5,126,10,1,5,767,74,1.604,10.3,1.2,4.1,6.8,1.64,74,borkoda01
62,Joe Borowski,34,9,14,23,0.378,3.9,264,1,136,0,0,44,302.1,286,138,131,33,119,19,241,3,0,3,1290,110,1.34,8.5,1,3.5,7.2,2.03,110,borowjo01
63,Ricky Bottalico,35,12,33,42,0.44,3.99,562,0,301,0,0,116,628.2,561,298,279,71,316,30,575,27,1,37,2730,110,1.395,8,1,4.5,8.2,1.82,110,bottari01
64,Micah Bowie*,30,3,4,8,0.333,8.45,33,11,9,0,0,0,71.1,106,69,67,11,44,3,53,3,2,4,358,54,2.103,13.4,1.4,5.6,6.7,1.2,54,bowiemi01
65,Travis Bowyer,23,1,0,1,0,5.59,8,0,5,0,0,0,9.2,10,6,6,3,3,0,12,1,0,1,42,82,1.345,9.3,2.8,2.8,11.2,4,82,bowyetr01
66,Blaine Boyer,23,1,4,2,0.667,3.11,43,0,5,0,0,0,37.2,32,13,13,1,17,0,33,2,0,2,158,137,1.301,7.6,0.2,4.1,7.9,1.94,137,boyerbl01
67,Chad Bradford,30,8,23,16,0.59,3.49,325,0,76,0,0,7,319.1,310,139,124,22,91,25,216,21,3,4,1343,129,1.256,8.7,0.6,2.6,6.1,2.37,129,bradfch01
68,Dewon Brazelton,25,4,8,23,0.258,5.98,54,41,2,0,0,0,253,277,192,168,36,142,6,136,20,1,8,1165,75,1.656,9.9,1.3,5.1,4.8,0.96,75,brazede01
69,Yhency Brazoban,25,2,10,12,0.455,4.44,105,0,54,0,0,21,105.1,95,55,52,13,47,6,88,5,0,2,450,93,1.348,8.1,1.1,4,7.5,1.87,93,brazoyh01
70,Craig Breslow*,24,1,0,0,,2.2,14,0,3,0,0,0,16.1,15,6,4,1,13,0,14,1,0,1,78,179,1.714,8.3,0.6,7.2,7.7,1.08,179,breslcr01
71,Eude Brito*,26,1,1,2,0.333,3.68,6,5,0,0,0,0,22,20,9,9,2,11,1,15,2,1,0,94,121,1.409,8.2,0.8,4.5,6.1,1.36,121,britoeu01
72,Doug Brocail,38,11,37,40,0.481,4.06,442,42,123,0,0,7,688.2,708,348,311,64,244,24,507,30,6,29,2985,109,1.382,9.3,0.8,3.2,6.6,2.08,109,brocado01
73,Frank Brooks*,26,2,0,1,0,4.58,12,1,4,0,0,0,17.2,14,10,9,5,9,2,18,0,1,0,74,97,1.302,7.1,2.5,4.6,9.2,2,97,brookfr01
74,Jim Brower,32,7,33,31,0.516,4.35,333,28,84,0,0,5,550.2,556,289,266,68,240,16,382,22,1,27,2403,103,1.446,9.1,1.1,3.9,6.2,1.59,103,broweji01
75,Kevin Brown,40,19,211,144,0.594,3.28,486,476,1,72,17,0,3256.1,3079,1357,1185,208,901,42,2397,139,15,108,13542,127,1.222,8.5,0.6,2.5,6.6,2.66,127,brownke01
76,Jonathan Broxton,21,1,1,0,1,5.93,14,0,5,0,0,0,13.2,13,11,9,0,12,2,22,1,0,2,68,71,1.829,8.6,0,7.9,14.5,1.83,71,broxtjo01
77,Brian Bruney,23,2,4,7,0.364,6.17,77,0,35,0,0,12,77.1,76,55,53,8,62,7,85,6,0,4,365,73,1.784,8.8,0.9,7.2,9.9,1.37,73,brunebr01
78,Mark Buehrle*,26,6,85,53,0.616,3.63,197,172,6,18,6,0,1224,1226,560,494,129,280,18,730,31,8,10,5059,127,1.23,9,0.9,2.1,5.4,2.61,127,buehrma01
79,Ryan Bukvich,27,4,2,0,1,6.94,48,0,14,0,0,1,46.2,44,38,36,4,41,3,39,1,0,2,222,72,1.821,8.5,0.8,7.9,7.5,0.95,72,bukviry01
80,Jason Bulger,26,1,1,0,1,5.4,9,0,5,0,0,0,10,14,6,6,1,5,1,9,0,0,0,48,84,1.9,12.6,0.9,4.5,8.1,1.8,84,bulgeja01
81,Bryan Bullington,24,1,0,0,,13.5,1,0,0,0,0,0,1.1,1,2,2,0,1,0,1,1,0,0,7,40,1.5,6.8,0,6.8,6.8,1,40,bullibr01
82,Nate Bump,28,3,6,7,0.462,4.68,113,2,23,0,0,1,148,163,85,77,15,64,9,79,12,0,2,661,88,1.534,9.9,0.9,3.9,4.8,1.23,88,bumpna01
83,Ambiorix Burgos,21,1,3,5,0.375,3.98,59,0,17,0,0,2,63.1,60,29,28,6,31,1,65,5,2,8,278,111,1.437,8.5,0.9,4.4,9.2,2.1,111,burgoam01
84,A.J. Burnett,28,7,49,50,0.495,3.73,134,131,0,14,8,0,853.2,719,395,354,66,377,16,753,31,1,44,3592,111,1.284,7.6,0.7,4,7.9,2,111,burnea.01
85,Sean Burnett*,22,1,5,5,0.5,5.02,13,13,0,1,1,0,71.2,86,41,40,9,28,2,30,1,0,2,318,85,1.591,10.8,1.1,3.5,3.8,1.07,85,burnese01
86,Mike Burns,26,1,0,0,,4.94,27,0,10,0,0,0,31,29,18,17,6,8,1,20,5,0,1,136,87,1.194,8.4,1.7,2.3,5.8,2.5,87,burnsmi01
87,Sean Burroughs,24,1,0,0,,27,1,0,1,0,0,0,1,4,3,3,1,0,0,0,0,0,0,7,20,4,36,9,0,0,,20,burrose01
88,Dave Bush,25,2,10,15,0.4,4.15,41,40,1,3,1,0,234,237,120,108,31,54,5,139,19,0,5,987,111,1.244,9.1,1.2,2.1,5.3,2.57,111,bushda01
89,Paul Byrd,34,10,72,64,0.529,4.23,246,158,30,13,4,0,1111.2,1135,584,522,159,290,17,654,43,7,28,4710,108,1.282,9.2,1.3,2.3,5.3,2.26,108,byrdpa01
90,Tim Byrdak*,31,4,0,5,0,6.37,89,0,9,0,0,2,59.1,75,47,42,10,45,3,57,2,1,9,302,75,2.022,11.4,1.5,6.8,8.6,1.27,75,byrdati01
91,Daniel Cabrera,24,2,22,21,0.512,4.75,57,56,1,1,1,1,309,289,177,163,28,176,4,233,13,1,21,1378,93,1.505,8.4,0.8,5.1,6.8,1.32,93,cabreda01
92,Fernando Cabrera,23,2,2,1,0.667,1.75,19,0,8,0,0,0,36,27,10,7,1,12,1,35,0,1,1,144,246,1.083,6.8,0.3,3,8.8,2.92,246,cabrefe01
93,Matt Cain,20,1,2,1,0.667,2.33,7,7,0,1,0,0,46.1,24,12,12,4,19,1,30,0,0,1,181,185,0.928,4.7,0.8,3.7,5.8,1.58,185,cainma01
94,Kiko Calero,30,3,8,3,0.727,2.97,125,1,26,0,0,4,139.1,101,46,46,16,48,5,150,3,1,6,559,144,1.069,6.5,1,3.1,9.7,3.13,144,calerki01
95,Carmen Cali*,26,2,0,0,,9.45,16,0,5,0,0,0,13.1,23,15,14,4,12,2,13,0,0,2,73,47,2.625,15.5,2.7,8.1,8.8,1.08,47,calica01
96,Shawn Camp,29,2,3,6,0.333,4.98,71,0,19,0,0,2,115.2,143,77,64,14,29,4,79,9,1,5,514,93,1.487,11.1,1.1,2.3,6.1,2.72,93,campsh01
97,Jorge Campillo,26,1,0,0,,0,2,1,1,0,0,0,2,1,0,0,0,1,0,1,0,0,0,9,,1,4.5,0,4.5,4.5,1,,campijo01
98,Jose Capellan,24,2,1,2,0.333,5.7,20,2,7,0,0,0,23.2,31,16,15,3,10,0,18,0,0,0,109,77,1.732,11.8,1.1,3.8,6.8,1.8,77,capeljo01
99,Matt Capps,21,1,0,0,,4.5,4,0,0,0,0,0,4,5,2,2,0,0,0,3,1,0,0,16,102,1.25,11.3,0,0,6.8,,102,cappsma01
100,Chris Capuano*,26,3,26,24,0.52,4.31,61,57,2,0,0,0,340.1,330,179,163,52,139,8,279,23,5,9,1473,101,1.378,8.7,1.4,3.7,7.4,2.01,101,capuach01
101,Buddy Carlyle,27,3,1,3,0.25,7.41,21,7,4,0,0,0,54.2,58,48,45,11,24,0,44,3,0,1,242,58,1.5,9.5,1.8,4,7.2,1.83,58,carlybu01
102,Chris Carpenter,30,8,85,60,0.586,4.26,213,196,6,20,9,0,1294.1,1357,677,613,153,420,10,977,46,2,41,5530,107,1.373,9.4,1.1,2.9,6.8,2.33,107,carpech01
103,Giovanni Carrara,37,9,29,17,0.63,4.7,288,18,63,1,0,3,444.2,460,246,232,69,195,22,313,20,0,8,1963,90,1.473,9.3,1.4,3.9,6.3,1.61,90,carragi01
104,D.J. Carrasco,28,3,14,15,0.483,4.81,101,22,32,1,0,2,230.1,252,133,123,24,106,9,128,16,3,15,1029,97,1.554,9.8,0.9,4.1,5,1.21,97,carradj01
105,Hector Carrasco,35,10,35,46,0.432,3.94,562,6,174,0,0,18,693.2,655,335,304,51,337,31,557,27,7,76,3045,114,1.43,8.5,0.7,4.4,7.2,1.65,114,carrahe01
106,Lance Carter,30,5,13,11,0.542,3.94,171,0,110,0,0,29,242,228,108,106,37,65,10,122,6,0,1,1003,113,1.211,8.5,1.4,2.4,4.5,1.88,113,cartela02
107,Marcos Carvajal,20,1,0,2,0,5.09,39,0,11,0,0,0,53,52,30,30,8,21,0,47,3,0,4,229,94,1.377,8.8,1.4,3.6,8,2.24,94,carvama01
108,Santiago Casilla,24,2,0,0,,9.35,7,0,5,0,0,0,8.2,7,9,9,3,10,0,6,1,0,1,44,52,1.962,7.3,3.1,10.4,6.2,0.6,52,garcija01
109,Scott Cassidy,29,2,2,5,0.286,6.15,69,0,21,0,0,0,79,71,55,54,15,35,3,60,7,0,2,342,74,1.342,8.1,1.7,4,6.8,1.71,74,cassisc01
110,Frank Castillo,36,13,82,104,0.441,4.56,297,268,9,10,3,2,1595.1,1660,878,809,190,506,32,1101,59,9,33,6871,95,1.358,9.4,1.1,2.9,6.2,2.18,95,castifr01
111,Jaime Cerda*,26,4,3,9,0.25,4.26,132,0,33,0,0,2,122.2,116,63,58,8,75,6,91,4,2,9,552,105,1.557,8.5,0.6,5.5,6.7,1.21,105,cerdaja01
112,Gustavo Chacin*,24,2,14,10,0.583,3.65,36,36,0,0,0,0,217,221,97,88,20,73,3,127,9,0,3,924,123,1.355,9.2,0.8,3,5.3,1.74,123,chacigu01
113,Shawn Chacon,27,5,31,48,0.392,4.9,164,95,60,0,0,35,631.1,609,364,344,89,323,28,425,48,2,29,2812,100,1.476,8.7,1.3,4.6,6.1,1.32,100,chacosh01
114,Bruce Chen*,28,8,35,30,0.538,4.27,197,100,20,2,0,0,698.1,660,367,331,123,273,18,565,19,2,15,2996,103,1.336,8.5,1.6,3.5,7.3,2.07,103,chenbr01
115,Matt Childers,26,2,0,0,,9.69,11,0,3,0,0,0,13,18,14,14,3,11,1,8,2,0,0,69,45,2.231,12.5,2.1,7.6,5.5,0.73,45,childma01
116,Randy Choate*,29,6,5,6,0.455,4.71,164,0,49,0,0,0,149,133,85,78,5,84,14,117,19,1,9,666,98,1.456,8,0.3,5.1,7.1,1.39,98,choatra01
117,Jason Christiansen*,35,11,27,26,0.509,4.3,528,0,128,0,0,16,433.2,409,220,207,37,217,34,384,15,2,27,1911,103,1.444,8.5,0.8,4.5,8,1.77,103,chrisja01
118,Vinnie Chulk,26,3,1,4,0.2,4.25,112,0,22,0,0,2,133.1,133,66,63,15,56,4,85,2,0,7,574,109,1.418,9,1,3.8,5.7,1.52,109,chulkvi01
119,Brandon Claussen*,26,3,13,19,0.406,4.67,44,44,0,0,0,0,239,266,141,124,34,93,7,171,9,1,5,1072,92,1.502,10,1.3,3.5,6.4,1.84,92,clausbr01
120,Roger Clemens,42,22,341,172,0.665,3.12,672,671,0,118,46,0,4704.1,3997,1799,1632,347,1520,62,4502,150,20,133,19369,143,1.173,7.6,0.7,2.9,8.6,2.96,143,clemero02
121,Matt Clement,30,8,82,81,0.503,4.37,226,224,0,6,3,0,1347.1,1249,712,654,136,612,23,1174,88,1,98,5879,98,1.381,8.3,0.9,4.1,7.8,1.92,98,clemema01
122,Todd Coffey,24,1,4,1,0.8,4.5,57,0,14,0,0,1,58,84,33,29,5,11,2,26,5,0,1,265,96,1.638,13,0.8,1.7,4,2.36,96,coffeto01
123,Jesus Colome,27,5,11,22,0.333,4.7,185,0,75,0,0,5,250.2,244,145,131,34,140,18,201,10,1,20,1128,95,1.532,8.8,1.2,5,7.2,1.44,95,colomje01
124,Bartolo Colon,32,9,139,82,0.629,3.94,280,278,0,30,7,0,1819.2,1752,853,797,212,639,26,1435,32,5,36,7675,116,1.314,8.7,1,3.2,7.1,2.25,116,colonba01
125,Roman Colon,25,2,4,7,0.364,5.09,53,7,14,0,0,0,88.1,100,54,50,17,29,2,62,0,1,4,388,84,1.46,10.2,1.7,3,6.3,2.14,84,colonro01
126,Steve Colyer*,26,2,1,0,1,5.05,54,0,12,0,0,0,51.2,55,30,29,8,33,1,47,1,0,4,231,86,1.703,9.6,1.4,5.7,8.2,1.42,86,colyest01
127,Clay Condrey,29,2,2,4,0.333,5.49,18,9,2,0,0,0,60.2,63,39,37,8,29,5,41,5,1,1,274,71,1.516,9.3,1.2,4.3,6.1,1.41,71,condrcl01
128,José Contreras,33,3,35,18,0.66,4.28,81,72,2,1,0,0,446,395,232,212,58,189,4,376,22,2,39,1908,106,1.309,8,1.2,3.8,7.6,1.99,106,contrjo01
129,Aaron Cook,26,4,19,13,0.594,4.8,81,50,5,4,0,0,339.2,414,192,181,27,125,14,121,19,1,19,1523,102,1.587,11,0.7,3.3,3.2,0.97,102,cookaa01
130,Brian Cooper,30,6,5,14,0.263,5.8,42,26,8,1,1,0,167.2,182,118,108,32,74,2,75,7,0,3,750,84,1.527,9.8,1.7,4,4,1.01,84,coopebr01
131,Roy Corcoran,25,2,0,0,,3.55,10,0,5,0,0,0,12.2,14,6,5,0,8,0,6,0,0,1,59,134,1.737,9.9,0,5.7,4.3,0.75,134,corcoro01
132,Tim Corcoran,27,1,0,0,,5.96,10,1,4,0,0,0,22.2,19,15,15,1,12,0,13,1,0,2,97,74,1.368,7.5,0.4,4.8,5.2,1.08,74,corcoti02
133,Chad Cordero,23,3,10,7,0.588,2.36,155,0,106,0,0,62,168,127,54,44,18,63,7,156,3,0,6,697,184,1.131,6.8,1,3.4,8.4,2.48,184,cordech01
134,Francisco Cordero,30,7,16,18,0.471,3.26,327,0,203,0,0,111,367.1,333,151,133,25,181,17,358,13,2,14,1603,151,1.399,8.2,0.6,4.4,8.8,1.98,151,cordefr01
135,Bryan Corey,31,2,0,0,,7.2,4,0,3,0,0,0,5,6,4,4,1,2,0,1,1,0,0,23,66,1.6,10.8,1.8,3.6,1.8,0.5,66,coreybr01
136,Lance Cormier,24,2,8,7,0.533,6.21,84,5,16,0,0,0,124.2,148,92,86,20,68,7,87,7,1,8,574,72,1.733,10.7,1.4,4.9,6.3,1.28,72,cormila01
137,Rheal Cormier*,38,14,69,61,0.531,4.08,613,108,91,7,1,2,1170.2,1196,588,531,115,299,34,740,47,4,37,4938,103,1.277,9.2,0.9,2.3,5.7,2.47,103,cormirh01
138,Kevin Correia,24,3,5,7,0.417,4.86,38,19,7,0,0,0,116.2,127,67,63,21,59,3,86,9,0,4,529,88,1.594,9.8,1.6,4.6,6.6,1.46,88,correke01
139,David Cortes,31,3,2,0,1,4.55,56,0,20,0,0,2,59.1,61,32,30,10,14,2,39,1,0,5,249,106,1.264,9.3,1.5,2.1,5.9,2.79,106,corteda01
140,Neal Cotts*,25,3,9,5,0.643,4.27,129,5,22,0,0,0,139,114,72,66,15,76,7,126,7,0,11,598,108,1.367,7.4,1,4.9,8.2,1.66,108,cottsne01
141,Jesse Crain,23,2,15,5,0.75,2.53,97,0,20,0,0,1,106.2,78,34,30,8,41,8,39,6,0,3,435,180,1.116,6.6,0.7,3.5,3.3,0.95,180,crainje01
142,Doug Creek*,36,9,7,14,0.333,5.32,279,3,70,0,0,1,289.1,263,188,171,49,199,16,292,17,0,16,1316,84,1.597,8.2,1.5,6.2,9.1,1.47,84,creekdo01
