Rk,Name,Age,Yrs,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,WHIP,H9,HR9,BB9,SO9,SO/W,ERA+,Name-additional
1,David Aardsma,24,2,4,0,1,4.52,56,0,14,0,0,0,63.2,61,33,32,10,38,0,54,3,0,1,286,102,1.555,8.6,1.4,5.4,7.6,1.42,102,aardsda01
2,Winston Abreu,29,1,0,0,,10.13,7,0,2,0,0,0,8,10,10,9,1,6,1,6,1,0,0,42,47,2,11.3,1.1,6.8,6.8,1,47,abreuwi01
3,Jeremy Accardo,24,2,3,9,0.25,4.93,93,0,34,0,0,3,98.2,102,55,54,9,29,6,70,2,1,5,421,91,1.328,9.3,0.8,2.6,6.4,2.41,91,accarje01
4,Mike Adams,27,3,2,4,0.333,3.54,61,0,20,0,0,1,68.2,66,28,27,8,26,3,54,2,0,3,299,125,1.34,8.7,1,3.4,7.1,2.08,125,adamsmi03
5,Jon Adkins,28,4,4,5,0.444,4.63,114,0,40,0,0,0,134,151,74,69,17,51,9,78,5,0,1,587,96,1.507,10.1,1.1,3.4,5.2,1.53,96,adkinjo01
6,Jeremy Affeldt*,27,5,21,24,0.467,4.91,211,42,60,0,0,18,427,460,257,233,42,191,12,301,13,7,18,1910,98,1.525,9.7,0.9,4,6.3,1.58,98,affelje01
7,Matt Albers,23,1,0,2,0,6,4,2,0,0,0,0,15,17,10,10,1,7,0,11,0,0,0,66,76,1.6,10.2,0.6,4.2,6.6,1.57,76,alberma01
8,Antonio Alfonseca,34,10,30,35,0.462,3.99,531,0,279,0,0,121,563.1,612,265,250,52,223,39,376,21,2,12,2474,106,1.482,9.8,0.8,3.6,6,1.69,106,alfonan01
9,Abe Alvarez*,23,3,0,1,0,11.32,4,1,1,0,0,0,10.1,19,13,13,5,7,0,5,0,0,0,53,46,2.516,16.5,4.4,6.1,4.4,0.71,46,alvarab01
10,Steve Andrade,28,1,0,0,,9.64,4,0,2,0,0,0,4.2,5,5,5,0,4,0,5,0,0,1,23,52,1.929,9.6,0,7.7,9.6,1.25,52,andrast01
11,Greg Aquino,28,3,2,3,0.4,4.93,111,0,49,0,0,17,115,120,71,63,19,58,5,111,10,1,8,522,94,1.548,9.4,1.5,4.5,8.7,1.91,94,aquingr01
12,Tony Armas,28,8,48,60,0.444,4.45,151,151,0,0,0,0,820.1,769,444,406,102,392,38,601,43,6,40,3576,99,1.415,8.4,1.1,4.3,6.6,1.53,99,armasto02
13,Bronson Arroyo,29,7,47,44,0.516,4.21,161,125,6,4,1,1,829,833,447,388,93,254,30,551,48,3,23,3551,110,1.311,9,1,2.8,6,2.17,110,arroybr01
14,Miguel Asencio,25,3,7,8,0.467,5.12,42,30,7,1,0,0,179.1,199,110,102,22,89,2,92,7,0,8,809,97,1.606,10,1.1,4.5,4.6,1.03,97,asencmi01
15,Ezequiel Astacio,26,2,5,6,0.455,6.02,28,14,7,0,0,0,86.2,107,63,58,25,31,5,72,1,1,4,396,71,1.592,11.1,2.6,3.2,7.5,2.32,71,astacez01
16,Pedro Astacio,37,15,129,124,0.51,4.67,392,343,11,31,12,0,2196.2,2292,1213,1140,291,726,54,1664,111,18,59,9472,97,1.374,9.4,1.2,3,6.8,2.29,97,astacpe01
17,Scott Atchison,30,2,2,3,0.4,4.1,31,0,10,0,0,0,37.1,36,17,17,5,15,2,45,0,0,2,160,110,1.366,8.7,1.2,3.6,10.8,3,110,atchisc01
18,Luis Ayala,28,3,24,22,0.522,2.75,214,0,70,0,0,8,232.1,232,80,71,21,42,9,149,16,1,4,948,160,1.179,9,0.8,1.6,5.8,3.55,160,ayalalu01
