Rk,Name,Age,Yrs,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,WHIP,H9,HR9,BB9,SO9,SO/W,ERA+,Name-additional
21,Pedro Astacio,32,10,103,96,0.518,4.5,308,265,9,27,10,0,1742.2,1798,937,872,218,572,41,1366,89,14,47,7480,103,1.36,9.3,1.1,3,7.1,2.39,103,astacpe01
22,Justin Atchley*,27,1,0,0,,6.1,15,0,2,0,0,0,10.1,12,7,7,4,5,2,8,1,0,1,48,78,1.645,10.5,3.5,4.4,7,1.6,78,atchlju01
23,Jeff Austin,24,1,0,0,,5.54,21,0,9,0,0,0,26,27,17,16,4,14,2,27,1,0,3,117,88,1.577,9.3,1.4,4.8,9.3,1.93,88,austije01
24,Steve Avery*,31,10,94,83,0.531,4.17,278,261,6,14,6,0,1538.2,1510,789,713,143,562,26,974,26,9,47,6538,100,1.347,8.8,0.8,3.3,5.7,1.73,100,averyst01
25,Manny Aybar,29,5,16,18,0.471,5.14,168,28,44,0,0,3,348.1,362,219,199,43,159,7,233,14,4,13,1556,86,1.496,9.4,1.1,4.1,6,1.47,86,aybarma01
26,Mike Bacsik*,23,1,0,0,,9,3,0,0,0,0,0,9,13,10,9,0,3,1,4,1,0,0,45,52,1.778,13,0,3,4,1.33,52,bacsimi02
27,Benito Baez*,24,1,0,0,,13.5,8,0,3,0,0,0,9.1,22,14,14,3,6,0,14,0,0,0,55,33,3,21.2,2.9,5.8,13.5,2.33,33,baezbe01
28,Danys Báez,23,1,5,3,0.625,2.5,43,0,8,0,0,0,50.1,34,22,14,5,20,4,52,3,0,3,202,180,1.073,6.1,0.9,3.6,9.3,2.6,180,baezda01
29,Cory Bailey,30,7,6,6,0.5,3.91,135,0,37,0,0,0,161,155,75,70,8,85,10,126,1,1,10,697,117,1.491,8.7,0.4,4.8,7,1.48,117,baileco01
30,James Baldwin,29,7,72,59,0.55,4.98,196,177,4,7,2,0,1095,1176,651,606,160,412,14,719,41,7,54,4799,94,1.45,9.7,1.3,3.4,5.9,1.75,94,baldwja01
31,John Bale*,27,3,1,0,1,5.01,17,0,3,0,0,0,32.1,25,24,18,4,22,0,31,3,0,1,145,91,1.454,7,1.1,6.1,8.6,1.41,91,balejo01
32,Grant Balfour,23,1,0,0,,13.5,2,0,1,0,0,0,2.2,3,4,4,2,3,0,2,0,0,0,14,38,2.25,10.1,6.8,10.1,6.8,0.67,38,balfogr01
33,Willie Banks,32,8,31,38,0.449,4.85,152,84,22,1,1,1,571.1,600,355,308,60,288,16,402,12,10,40,2555,87,1.554,9.5,0.9,4.5,6.3,1.4,87,bankswi01
34,Lorenzo Barcelo,23,2,5,2,0.714,4.05,39,1,8,0,0,0,60,58,30,27,6,17,3,41,1,0,2,253,122,1.25,8.7,0.9,2.6,6.2,2.41,122,barcelo01
35,Miguel Batista,30,7,24,32,0.429,4.74,182,63,30,2,1,1,524,534,313,276,59,254,17,348,26,1,25,2325,95,1.504,9.2,1,4.4,6,1.37,95,batismi01
36,Rick Bauer,24,1,0,5,0,4.64,6,6,0,0,0,0,33,35,22,17,7,9,0,16,1,0,0,143,94,1.333,9.5,1.9,2.5,4.4,1.78,94,bauerri01
37,Rod Beck,32,11,35,41,0.461,3.28,642,0,479,0,0,266,708.2,651,283,258,85,171,31,597,19,3,22,2922,125,1.16,8.3,1.1,2.2,7.6,3.49,125,beckro01
38,Josh Beckett,21,1,2,2,0.5,1.5,4,4,0,0,0,0,24,14,9,4,3,11,0,24,1,0,1,99,286,1.042,5.3,1.1,4.1,9,2.18,286,beckejo02
39,Joe Beimel*,24,1,7,11,0.389,5.23,42,15,9,0,0,0,115.1,131,72,67,12,49,4,58,6,0,3,511,87,1.561,10.2,0.9,3.8,4.5,1.18,87,beimejo01
40,Kevin Beirne,27,2,1,3,0.25,7.46,34,1,10,0,0,0,56.2,63,51,47,10,26,2,46,4,0,1,260,67,1.571,10,1.6,4.1,7.3,1.77,67,beirnke01
41,Todd Belitz*,25,2,1,1,0.5,6.39,13,0,6,0,0,0,12.2,13,10,9,2,7,0,8,0,0,1,59,84,1.579,9.2,1.4,5,5.7,1.14,84,belitto01
42,Rob Bell,24,2,12,18,0.4,5.87,53,53,0,1,0,0,290,306,199,189,64,137,7,209,8,0,20,1288,80,1.528,9.5,2,4.3,6.5,1.53,80,bellro01
43,Rigo Beltran*,31,4,2,3,0.4,4.34,76,5,28,0,0,1,105.2,109,58,51,13,43,3,106,1,0,8,465,104,1.438,9.3,1.1,3.7,9,2.47,104,beltrri01
44,Alan Benes,29,6,27,23,0.54,4.42,101,59,23,5,1,0,431.1,414,240,212,54,194,8,349,14,3,22,1871,96,1.41,8.6,1.1,4,7.3,1.8,96,benesal01
45,Andy Benes,33,13,150,135,0.526,4.02,385,370,6,20,9,1,2408.1,2297,1167,1076,279,858,49,1936,50,16,63,10228,103,1.31,8.6,1,3.2,7.2,2.26,103,benesan01
46,Armando Benitez,28,8,25,27,0.481,3.16,433,0,281,0,0,143,444,287,164,156,53,248,21,610,12,1,12,1851,142,1.205,5.8,1.1,5,12.4,2.46,142,benitar01
47,Joaquin Benoit,23,1,0,0,,10.8,1,1,0,0,0,0,5,8,6,6,3,3,0,4,0,0,0,26,46,2.2,14.4,5.4,5.4,7.2,1.33,46,benoijo01
48,Kris Benson,26,2,21,26,0.447,3.95,63,63,0,4,1,0,414.1,390,209,182,40,169,10,323,16,1,7,1776,117,1.349,8.5,0.9,3.7,7,1.91,117,bensokr01
49,Jason Bere,30,9,70,55,0.56,5.1,193,185,2,4,0,0,1018.2,992,628,577,132,596,24,854,26,1,46,4580,88,1.559,8.8,1.2,5.3,7.5,1.43,88,bereja01
50,Adam Bernero,24,2,0,1,0,5.01,17,4,8,0,0,0,46.2,46,31,26,7,17,1,28,2,0,2,197,92,1.35,8.9,1.4,3.3,5.4,1.65,92,bernead01
51,Rocky Biddle,25,2,8,10,0.444,5.83,34,25,1,0,0,0,151.1,168,112,98,21,60,3,92,8,0,8,676,81,1.507,10,1.2,3.6,5.5,1.53,81,biddlro01
52,Nick Bierbrodt*,23,1,5,6,0.455,5.55,16,16,0,0,0,0,84.1,100,59,52,17,39,1,73,4,0,3,389,82,1.648,10.7,1.8,4.2,7.8,1.87,82,bierbni01
53,Willie Blair,35,12,60,86,0.411,5.04,418,139,75,3,0,4,1274,1438,778,713,170,415,28,759,36,3,41,5572,88,1.454,10.2,1.2,2.9,5.4,1.83,88,blairwi01
54,Matt Blank*,25,2,2,3,0.4,5.15,18,4,3,0,0,0,36.2,35,22,21,6,18,2,15,3,0,0,167,91,1.445,8.6,1.5,4.4,3.7,0.83,91,blankma01
55,Brian Boehringer,32,7,16,23,0.41,4.36,203,21,56,0,0,2,367.1,366,197,178,46,194,22,300,12,0,9,1655,99,1.525,9,1.1,4.8,7.4,1.55,99,boehrbr01
56,Brian Bohanon*,32,12,54,60,0.474,5.19,304,157,26,8,2,2,1116,1229,706,643,142,489,25,671,58,2,42,4993,94,1.539,9.9,1.1,3.9,5.4,1.37,94,bohanbr01
57,Ricky Bones,32,11,63,82,0.434,4.85,375,164,58,11,1,1,1278.1,1422,754,689,167,464,34,564,50,6,36,5634,95,1.475,10,1.2,3.3,4,1.22,95,bonesri01
58,Bobby Bonilla,38,1,0,0,,18,1,0,1,0,0,0,1,3,2,2,1,1,0,0,0,1,0,6,33,4,27,9,9,0,0,33,bonilbo01
59,Pedro Borbon*,33,7,12,11,0.522,4.24,289,0,71,0,0,5,216.2,192,113,102,21,107,14,174,12,1,1,951,108,1.38,8,0.9,4.4,7.2,1.63,108,borbope02
60,Dave Borkowski,24,3,2,9,0.182,6.93,34,13,9,0,0,0,111.2,127,92,86,17,62,4,81,7,0,3,520,68,1.693,10.2,1.4,5,6.5,1.31,68,borkoda01
61,Toby Borland,32,6,9,8,0.529,4.11,167,0,45,0,0,8,228,228,122,104,17,121,13,178,15,0,31,1029,105,1.531,9,0.7,4.8,7,1.47,105,borlato02
62,Joe Borowski,30,5,5,8,0.385,5.09,58,1,26,0,0,0,70.2,84,42,40,7,44,9,34,1,0,1,329,88,1.811,10.7,0.9,5.6,4.3,0.77,88,borowjo01
63,Ricky Bottalico,31,8,27,35,0.435,4,430,0,276,0,0,114,488.2,428,227,217,58,248,20,459,18,1,25,2109,111,1.383,7.9,1.1,4.6,8.5,1.85,111,bottari01
64,Kent Bottenfield,32,9,46,49,0.484,4.54,292,116,49,2,1,10,911.2,950,506,460,123,385,27,566,28,3,16,4006,100,1.464,9.4,1.2,3.8,5.6,1.47,100,botteke01
65,Micah Bowie*,26,1,2,7,0.222,10.24,14,11,2,0,0,0,51,81,60,58,9,34,2,41,2,2,4,265,44,2.255,14.3,1.6,6,7.2,1.21,44,bowiemi01
66,Brian Bowles,24,1,0,0,,0,2,0,0,0,0,0,3.2,4,0,0,0,1,0,4,0,0,1,15,,1.364,9.8,0,2.5,9.8,4,,bowlebr01
67,Jason Boyd,28,2,0,1,0,6.13,34,0,11,0,0,0,39.2,44,30,27,2,26,4,36,2,0,2,185,78,1.765,10,0.5,5.9,8.2,1.38,78,boydja02
68,Chad Bradford,26,4,5,2,0.714,3.51,79,0,32,0,0,2,84.2,90,40,33,7,19,1,54,1,1,2,355,132,1.287,9.6,0.7,2,5.7,2.84,132,bradfch01
69,Jeff Brantley,37,14,43,46,0.483,3.39,615,18,379,0,0,172,859.1,754,348,324,105,366,51,728,27,13,26,3644,115,1.303,7.9,1.1,3.8,7.6,1.99,115,brantje01
70,Leslie Brea,27,2,0,1,0,12.27,8,1,3,0,0,0,11,18,15,15,3,13,0,5,1,0,1,63,40,2.818,14.7,2.5,10.6,4.1,0.38,40,breale01
71,Doug Brocail,34,9,28,36,0.438,3.87,338,42,96,0,0,5,563,564,271,242,60,190,20,403,21,5,23,2409,113,1.339,9,1,3,6.4,2.12,113,brocado01
72,Chris Brock,31,5,16,16,0.5,4.82,126,30,28,0,0,1,291,309,169,156,50,123,7,206,9,4,16,1293,91,1.485,9.6,1.5,3.8,6.4,1.67,91,brockch01
73,Troy Brohawn*,28,1,2,3,0.4,4.93,59,0,10,0,0,1,49.1,55,27,27,5,23,2,30,1,0,2,220,95,1.581,10,0.9,4.2,5.5,1.3,95,brohatr01
74,Jim Brower,28,3,12,14,0.462,4.69,72,23,15,0,0,1,217,226,123,113,36,101,7,144,8,1,8,965,101,1.507,9.4,1.5,4.2,6,1.43,101,broweji01
75,Kevin Brown,36,15,180,118,0.604,3.18,402,399,1,72,17,0,2776.1,2588,1132,982,169,768,38,2021,119,14,89,11511,130,1.209,8.4,0.5,2.5,6.6,2.63,130,brownke01
76,Mike Buddie,30,4,4,2,0.667,4.73,62,2,17,0,0,2,91.1,91,53,48,8,31,4,48,7,1,5,390,94,1.336,9,0.8,3.1,4.7,1.55,94,buddimi01
77,Mark Buehrle*,22,2,20,9,0.69,3.47,60,35,6,4,2,0,272.2,243,116,105,29,67,3,163,11,5,1,1110,136,1.137,8,1,2.2,5.4,2.43,136,buehrma01
78,Kirk Bullinger,31,3,1,0,1,7.3,15,0,2,0,0,0,12.1,20,11,10,1,2,0,6,0,1,0,58,66,1.784,14.6,0.7,1.5,4.4,3,66,bulliki01
79,Dave Burba,34,12,105,80,0.568,4.46,408,211,51,5,1,1,1512,1510,811,749,173,660,46,1218,43,2,61,6584,100,1.435,9,1,3.9,7.3,1.85,100,burbada01
80,John Burkett,36,13,141,119,0.542,4.23,384,364,7,19,5,1,2293.2,2465,1173,1077,212,603,53,1535,73,7,28,9779,100,1.338,9.7,0.8,2.4,6,2.55,100,burkejo03
81,A.J. Burnett,24,3,18,21,0.462,4.18,47,47,0,2,1,0,297.1,262,151,138,31,152,8,218,9,1,9,1279,103,1.392,7.9,0.9,4.6,6.6,1.43,103,burnea.01
82,Paul Byrd,30,7,35,35,0.5,4.59,163,75,30,4,1,0,564.2,572,321,288,83,205,15,344,27,6,23,2451,100,1.376,9.1,1.3,3.3,5.5,1.68,100,byrdpa01
83,Tim Byrdak*,27,3,0,4,0,8.27,48,0,6,0,0,1,32.2,48,33,30,9,24,2,26,1,1,4,171,62,2.204,13.2,2.5,6.6,7.2,1.08,62,byrdati01
84,Jose Cabrera,29,5,13,7,0.65,3.81,148,0,63,0,0,4,167.2,160,77,71,19,58,9,131,5,2,8,714,122,1.3,8.6,1,3.1,7,2.26,122,cabrejo01
85,Mickey Callaway,26,2,1,2,0.333,7.4,7,4,2,0,0,0,24.1,33,24,20,4,16,1,13,0,0,1,119,67,2.014,12.2,1.5,5.9,4.8,0.81,67,callami01
86,Buddy Carlyle,23,2,1,3,0.25,7.08,11,7,2,0,0,0,40.2,42,35,32,7,20,0,31,2,0,1,180,60,1.525,9.3,1.5,4.4,6.9,1.55,60,carlybu01
87,Chris Carpenter,26,5,45,45,0.5,4.79,139,122,6,11,5,0,797.1,895,475,424,100,304,8,567,31,2,29,3504,99,1.504,10.1,1.1,3.4,6.4,1.87,99,carpech01
88,Giovanni Carrara,33,5,9,8,0.529,6.03,88,17,10,1,0,0,195.2,226,140,131,42,91,10,140,5,0,2,886,74,1.62,10.4,1.9,4.2,6.4,1.54,74,carragi01
89,Hector Carrasco,31,8,28,36,0.438,4.17,458,1,151,0,0,15,567,556,290,263,40,279,21,455,19,6,70,2513,109,1.473,8.8,0.6,4.4,7.2,1.63,109,carrahe01
90,Lance Carter,26,1,0,1,0,5.06,6,0,3,0,0,0,5.1,3,3,3,2,3,0,3,0,0,0,21,104,1.125,5.1,3.4,5.1,5.1,1,104,cartela02
91,Carlos Castillo,26,4,10,7,0.588,5.04,111,6,32,0,0,1,210.2,210,124,118,37,82,5,130,6,5,7,916,91,1.386,9,1.6,3.5,5.6,1.59,91,castica02
92,Frank Castillo,32,10,76,88,0.463,4.49,258,244,5,10,3,1,1426.2,1481,772,712,171,442,26,985,52,7,32,6134,95,1.348,9.3,1.1,2.8,6.2,2.23,95,castifr01
93,Shawn Chacon,23,1,6,10,0.375,5.06,27,27,0,0,0,0,160,157,96,90,26,87,10,134,10,0,6,711,105,1.525,8.8,1.5,4.9,7.5,1.54,105,chacosh01
94,Norm Charlton*,38,13,51,54,0.486,3.71,605,37,280,1,1,97,899.1,798,419,371,70,409,27,808,32,9,77,3845,112,1.342,8,0.7,4.1,8.1,1.98,112,charlno01
95,Bruce Chen*,24,4,18,13,0.581,4.3,84,53,7,0,0,0,351.1,323,185,168,61,141,12,300,6,1,9,1498,103,1.321,8.3,1.6,3.6,7.7,2.13,103,chenbr01
96,Scott Chiasson,23,1,1,1,0.5,2.7,6,0,3,0,0,0,6.2,5,2,2,2,2,0,6,1,0,1,28,162,1.05,6.8,2.7,2.7,8.1,3,162,chiassc01
97,Randy Choate*,25,2,3,2,0.6,3.72,59,0,19,0,0,0,65.1,48,31,27,3,35,2,47,10,0,4,282,124,1.27,6.6,0.4,4.8,6.5,1.34,124,choatra01
98,Bobby Chouinard,29,5,11,8,0.579,4.57,111,13,29,0,0,1,181,197,105,92,26,65,10,110,4,0,6,794,108,1.448,9.8,1.3,3.2,5.5,1.69,108,chouibo01
99,Jason Christiansen*,31,7,17,21,0.447,4.07,354,0,97,0,0,13,321,289,154,145,26,161,31,318,11,2,22,1400,109,1.402,8.1,0.7,4.5,8.9,1.98,109,chrisja01
100,Tim Christman*,26,1,0,0,,4.5,1,0,1,0,0,0,2,1,1,1,1,0,0,2,0,0,0,7,135,0.5,4.5,4.5,0,9,,135,christi01
101,Roger Clemens,38,18,280,145,0.659,3.1,545,544,0,116,45,0,3887,3306,1479,1338,279,1258,45,3717,129,19,106,16007,144,1.174,7.7,0.6,2.9,8.6,2.95,144,clemero02
102,Matt Clement,26,4,34,39,0.466,4.89,100,98,0,0,0,0,568.2,571,347,309,55,303,9,452,40,0,51,2565,87,1.537,9,0.9,4.8,7.2,1.49,87,clemema01
103,Pasqual Coco,23,2,1,0,1,5.4,8,2,3,0,0,0,18.1,17,12,11,1,11,0,11,3,0,1,86,90,1.527,8.3,0.5,5.4,5.4,1,90,cocopa01
104,Tony Cogan*,24,1,0,4,0,5.84,39,0,7,0,0,0,24.2,32,17,16,7,13,0,17,5,0,1,119,83,1.824,11.7,2.6,4.7,6.2,1.31,83,coganto01
105,Dave Coggin,24,2,8,7,0.533,4.43,22,22,0,0,0,0,122,134,66,60,9,51,6,79,6,0,4,541,98,1.516,9.9,0.7,3.8,5.8,1.55,98,coggida01
106,Jesus Colome,23,1,2,3,0.4,3.33,30,0,9,0,0,0,48.2,37,22,18,8,25,4,31,2,0,2,209,134,1.274,6.8,1.5,4.6,5.7,1.24,134,colomje01
107,Bartolo Colon,28,5,65,41,0.613,4.09,146,144,0,11,4,0,913.1,880,446,415,98,388,17,798,19,1,21,3922,117,1.388,8.7,1,3.8,7.9,2.06,117,colonba01
108,David Cone,38,16,193,123,0.611,3.44,445,415,9,56,22,1,2880.2,2484,1209,1102,254,1124,41,2655,106,32,149,12099,121,1.252,7.8,0.8,3.5,8.3,2.36,121,coneda01
109,Dennis Cook*,38,14,63,45,0.583,3.93,628,71,111,6,3,9,987.2,929,477,431,128,380,49,726,30,16,23,4198,106,1.325,8.5,1.2,3.5,6.6,1.91,106,cookde01
110,Brian Cooper,26,3,5,10,0.333,5.33,27,21,5,1,1,0,128.1,138,86,76,23,57,1,58,6,0,1,575,93,1.519,9.7,1.6,4,4.1,1.02,93,coopebr01
111,Rocky Coppinger,27,5,17,11,0.607,5.47,82,32,24,0,0,0,241.2,247,153,147,48,140,6,210,4,0,8,1088,87,1.601,9.2,1.8,5.2,7.8,1.5,87,coppiro01
112,Francisco Cordero,26,3,3,5,0.375,4.93,79,0,19,0,0,0,98.2,109,59,54,13,68,6,69,4,0,9,468,102,1.794,9.9,1.2,6.2,6.3,1.01,102,cordefr01
113,Bryan Corey,27,1,0,0,,9,3,0,2,0,0,0,4,6,4,4,1,2,0,1,1,0,0,20,51,2,13.5,2.3,4.5,2.3,0.5,51,coreybr01
114,Mark Corey,26,1,0,0,,16.2,2,0,0,0,0,0,1.2,5,3,3,0,3,1,3,0,0,0,13,31,4.8,27,0,16.2,16.2,1,31,coreyma02
115,Rheal Cormier*,34,10,48,48,0.5,4.18,353,108,45,7,1,1,897.2,955,467,417,89,200,19,544,35,3,29,3802,100,1.287,9.6,0.9,2,5.5,2.72,100,cormirh01
116,Nate Cornejo,21,1,4,4,0.5,7.38,10,10,0,0,0,0,42.2,63,38,35,10,28,4,22,3,0,1,217,58,2.133,13.3,2.1,5.9,4.6,0.79,58,cornena01
117,David Cortes,27,1,0,0,,4.91,4,0,4,0,0,0,3.2,3,3,2,0,4,0,2,0,0,2,18,100,1.909,7.4,0,9.8,4.9,0.5,100,corteda01
118,Tim Crabtree,31,7,21,22,0.488,4.2,342,0,133,0,0,9,394,434,210,184,29,150,18,288,14,0,27,1739,117,1.482,9.9,0.7,3.4,6.6,1.92,117,crabtti01
119,Paxton Crawford,23,2,5,1,0.833,4.15,15,11,3,0,0,0,65,65,34,30,3,26,2,42,4,0,2,284,115,1.4,9,0.4,3.6,5.8,1.62,115,crawfpa02
120,Doug Creek*,32,6,4,12,0.25,5.15,186,3,42,0,0,1,197.2,165,127,113,30,145,11,207,8,0,10,884,88,1.568,7.5,1.4,6.6,9.4,1.43,88,creekdo01
121,Jack Cressend,26,2,3,2,0.6,3.99,55,0,13,0,0,0,70,70,32,31,6,22,0,46,1,0,2,293,118,1.314,9,0.8,2.8,5.9,2.09,118,cressja01
122,Jim Crowell*,27,1,0,1,0,9.95,2,1,1,0,0,0,6.1,12,7,7,2,5,0,3,0,0,0,36,46,2.684,17.1,2.8,7.1,4.3,0.6,46,croweji01
123,Juan Cruz,22,1,3,1,0.75,3.22,8,8,0,0,0,0,44.2,40,16,16,4,17,1,39,2,0,0,185,130,1.276,8.1,0.8,3.4,7.9,2.29,130,cruzju02
124,Nelson Cruz,28,4,10,12,0.455,4.7,141,6,43,0,0,2,216.1,214,118,113,32,69,9,178,15,1,7,925,100,1.308,8.9,1.3,2.9,7.4,2.58,100,cruzne01
125,Darwin Cubillan,28,2,1,0,1,7.09,49,0,17,0,0,0,59.2,83,49,47,10,37,1,46,1,0,2,293,69,2.011,12.5,1.5,5.6,6.9,1.24,69,cubilda01
126,Will Cunnane,27,5,9,8,0.529,5.35,139,12,29,0,0,0,215.1,253,145,128,28,105,13,173,8,0,7,981,77,1.663,10.6,1.2,4.4,7.2,1.65,77,cunnawi01
127,Jeff D'Amico,25,5,29,24,0.547,4.23,74,73,1,2,2,0,432.1,431,231,203,71,136,11,281,15,2,11,1839,111,1.311,9,1.5,2.8,5.8,2.07,111,d'amije01
128,Omar Daal*,29,9,53,58,0.477,4.48,334,124,37,5,2,1,943.2,974,509,470,109,357,33,648,28,13,8,4081,98,1.41,9.3,1,3.4,6.2,1.82,98,daalom01
129,Vic Darensbourg*,30,4,6,13,0.316,4.74,229,0,51,0,0,2,216.1,215,121,114,19,89,14,182,8,3,6,943,90,1.405,8.9,0.8,3.7,7.6,2.04,90,darenvi01
130,Joe Davenport,25,2,0,0,,3,10,0,5,0,0,0,12,9,7,4,1,9,0,8,0,0,0,51,184,1.5,6.8,0.8,6.8,6,0.89,184,davenjo01
131,Tom Davey,27,3,6,6,0.5,4.2,95,0,25,0,0,1,115.2,115,64,54,8,59,4,102,8,1,10,517,109,1.504,8.9,0.6,4.6,7.9,1.73,109,daveyto01
132,Doug Davis*,25,3,18,16,0.529,5.04,62,43,4,2,0,0,287.1,341,174,161,31,127,4,184,6,3,12,1298,95,1.629,10.7,1,4,5.8,1.45,95,davisdo02
133,Kane Davis,26,2,2,7,0.222,5.83,65,2,7,0,0,0,83.1,93,60,54,15,45,4,51,3,1,4,386,91,1.656,10,1.6,4.9,5.5,1.13,91,daviska01
134,Lance Davis*,24,1,8,4,0.667,4.74,20,20,0,1,0,0,106.1,124,60,56,12,34,0,53,1,0,2,461,97,1.486,10.5,1,2.9,4.5,1.56,97,davisla01
135,Valerio De Los Santos*,28,4,2,4,0.333,4.82,87,2,21,0,0,0,104.2,96,57,56,20,43,7,94,2,1,5,443,94,1.328,8.3,1.7,3.7,8.1,2.19,94,delosva01
136,Rick DeHart*,31,3,2,1,0.667,5.64,52,0,13,0,0,1,59,73,47,37,12,30,6,44,0,1,3,278,76,1.746,11.1,1.8,4.6,6.7,1.47,76,deharri01
137,Mike DeJean,30,5,18,11,0.621,4.41,299,1,75,0,0,6,340.2,364,186,167,34,149,24,198,15,0,21,1496,117,1.506,9.6,0.9,3.9,5.2,1.33,117,dejeami01
138,Ryan Dempster,24,4,37,35,0.514,4.62,106,103,1,4,2,0,639.1,646,349,328,78,340,15,541,30,0,22,2866,93,1.542,9.1,1.1,4.8,7.6,1.59,93,dempsry01
139,Sean DePaula,27,2,0,0,,5.4,24,0,7,0,0,0,28.1,28,17,17,3,17,2,34,0,0,0,128,94,1.588,8.9,1,5.4,10.8,2,94,depause01
140,Elmer Dessens,30,5,23,27,0.46,4.78,135,58,16,2,1,1,455.1,523,249,242,54,128,10,271,5,1,9,1959,96,1.43,10.3,1.1,2.5,5.4,2.12,96,desseel01
141,Matt DeWitt,23,2,1,2,0.333,5.79,24,0,13,0,0,0,32.2,42,21,21,6,19,5,19,3,0,3,155,84,1.867,11.6,1.7,5.2,5.2,1,84,dewitma01
142,R.A. Dickey,26,1,0,1,0,6.75,4,0,1,0,0,0,12,13,9,9,3,7,1,4,0,0,1,53,71,1.667,9.8,2.3,5.3,3,0.57,71,dicker.01
