Rk,Name,Age,Yrs,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,WHIP,H9,HR9,BB9,SO9,SO/W,ERA+,Name-additional
1,Paul Abbott,33,8,38,21,0.644,4.28,125,80,16,1,0,0,550.2,489,280,262,66,289,14,396,14,0,27,2385,104,1.413,8,1.1,4.7,6.5,1.37,104,abbotpa01
2,Jose Acevedo,23,1,5,7,0.417,5.44,18,18,0,0,0,0,96,101,61,58,17,34,2,68,3,0,4,417,85,1.406,9.5,1.6,3.2,6.4,2,85,acevejo01
3,Juan Acevedo,31,6,26,30,0.464,4.41,263,34,92,0,0,19,457,477,251,224,62,185,27,279,21,4,14,1986,105,1.449,9.4,1.2,3.6,5.5,1.51,105,aceveju01
4,Terry Adams,28,7,37,43,0.463,4.04,385,22,149,0,0,39,581.1,581,292,261,40,261,19,484,6,6,34,2534,105,1.448,9,0.6,4,7.5,1.85,105,adamste01
5,Kurt Ainsworth,22,1,0,0,,13.5,2,0,2,0,0,0,2,3,3,3,1,2,0,3,1,0,0,12,35,2.5,13.5,4.5,9,13.5,1.5,35,ainswku01
6,Antonio Alfonseca,29,5,18,24,0.429,3.77,274,0,192,0,0,102,305.2,340,139,128,30,111,24,198,14,2,5,1343,113,1.475,10,0.9,3.3,5.8,1.78,113,alfonan01
7,Armando Almanza*,28,3,6,5,0.545,4.37,133,0,18,0,0,0,103,80,55,50,12,78,8,111,3,1,3,458,100,1.534,7,1,6.8,9.7,1.42,100,almanar01
8,Carlos Almanzar,27,5,6,9,0.4,5.23,129,0,39,0,0,0,149.2,170,90,87,25,51,7,116,8,0,4,668,84,1.477,10.2,1.5,3.1,7,2.27,84,almanca01
9,Hector Almonte,25,1,0,2,0,4.2,15,0,6,0,0,0,15,20,7,7,1,6,2,8,0,0,2,67,105,1.733,12,0.6,3.6,4.8,1.33,105,almonhe01
10,Juan Alvarez*,27,2,0,1,0,10,19,0,4,0,0,0,9,15,10,10,3,11,1,6,0,0,2,52,53,2.889,15,3,11,6,0.55,53,alvarju01
11,Wilson Alvarez*,31,10,86,77,0.528,3.96,250,224,4,11,4,1,1433,1324,712,631,153,708,23,1074,36,4,24,6194,114,1.418,8.3,1,4.4,6.7,1.52,114,alvarwi01
12,Brian Anderson*,29,9,55,47,0.539,4.7,183,158,8,8,2,1,996.2,1101,563,521,174,205,17,468,17,21,15,4174,98,1.31,9.9,1.6,1.9,4.2,2.28,98,anderbr02
13,Jimmy Anderson*,25,3,16,29,0.356,5.07,74,64,2,2,0,0,379.2,426,232,214,30,157,18,175,19,1,16,1697,91,1.536,10.1,0.7,3.7,4.1,1.11,91,anderji02
14,Matt Anderson,24,4,13,5,0.722,4.62,210,0,87,0,0,23,212.1,188,120,109,21,129,13,199,6,1,18,937,100,1.493,8,0.9,5.5,8.4,1.54,100,anderma01
15,Rick Ankiel*,21,3,12,10,0.545,3.84,46,41,1,0,0,1,232,188,113,99,30,129,2,260,10,2,19,996,121,1.366,7.3,1.2,5,10.1,2.02,121,ankieri01
16,Kevin Appier,33,13,147,115,0.561,3.63,357,345,2,34,12,0,2291.1,2107,1002,923,188,823,45,1805,64,6,91,9642,125,1.279,8.3,0.7,3.2,7.1,2.19,125,appieke01
17,Tony Armas,23,3,16,24,0.4,4.08,52,52,0,0,0,0,297.2,262,154,135,28,143,9,237,13,1,14,1282,112,1.361,7.9,0.8,4.3,7.2,1.66,112,armasto02
18,Rolando Arrojo,35,4,36,39,0.48,4.5,129,97,11,4,2,5,618.2,632,330,309,76,228,14,461,61,3,11,2692,110,1.39,9.2,1.1,3.3,6.7,2.02,110,arrojro01
19,Bronson Arroyo,24,2,7,13,0.35,5.68,44,25,2,1,0,0,160,187,115,101,22,70,12,89,8,2,7,728,81,1.606,10.5,1.2,3.9,5,1.27,81,arroybr01
20,Andy Ashby,33,11,86,87,0.497,4.1,256,243,3,21,7,1,1554,1587,795,708,177,458,44,1023,50,4,51,6596,101,1.316,9.2,1,2.7,5.9,2.23,101,ashbyan01
