Rk,Name,Age,Yrs,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,WHIP,H9,HR9,BB9,SO9,SO/W,ERA+,Name-additional
1,Paul Abbott,34,9,39,24,0.619,4.63,132,85,17,1,0,0,577,529,316,297,71,309,14,418,15,0,29,2522,96,1.452,8.3,1.1,4.8,6.5,1.35,96,abbotpa01
2,Jose Acevedo,24,2,9,9,0.5,5.79,24,23,0,0,0,0,119.2,129,82,77,25,46,2,82,5,0,5,529,79,1.462,9.7,1.9,3.5,6.2,1.78,79,acevejo01
3,Juan Acevedo,32,7,27,35,0.435,4.16,328,34,140,0,0,47,531.2,545,284,246,66,208,30,322,26,4,16,2300,110,1.416,9.2,1.1,3.5,5.5,1.55,110,aceveju01
4,Terry Adams,29,8,44,52,0.458,4.1,431,41,159,0,0,39,718,713,368,327,49,319,24,580,9,6,42,3124,102,1.437,8.9,0.6,4,7.3,1.82,102,adamste01
5,Jeremy Affeldt*,23,1,3,4,0.429,4.64,34,7,4,0,0,0,77.2,85,41,40,8,37,4,67,3,2,5,353,107,1.571,9.8,0.9,4.3,7.8,1.81,107,affelje01
6,Kurt Ainsworth,23,2,1,2,0.333,2.93,8,4,2,0,0,0,27.2,25,10,9,2,14,0,18,2,0,1,120,136,1.41,8.1,0.7,4.6,5.9,1.29,136,ainswku01
7,Antonio Alfonseca,30,6,20,29,0.408,3.81,340,0,247,0,0,121,380,413,173,161,35,147,27,259,17,2,6,1673,110,1.474,9.8,0.8,3.5,6.1,1.76,110,alfonan01
8,Armando Almanza*,29,4,9,7,0.563,4.36,184,0,28,0,0,2,148.2,116,77,72,20,101,9,168,3,2,5,648,98,1.46,7,1.2,6.1,10.2,1.66,98,almanar01
9,Carlos Almanzar,28,6,6,10,0.375,5.02,137,1,43,0,0,0,161.1,176,94,90,25,56,8,123,8,0,5,713,87,1.438,9.8,1.4,3.1,6.9,2.2,87,almanca01
10,Hector Almonte,26,1,0,2,0,4.2,15,0,6,0,0,0,15,20,7,7,1,6,2,8,0,0,2,67,105,1.733,12,0.6,3.6,4.8,1.33,105,almonhe01
11,Juan Alvarez*,28,3,0,5,0,5.73,71,0,16,0,0,0,48.2,50,32,31,10,32,1,36,3,1,2,225,85,1.685,9.2,1.8,5.9,6.7,1.13,85,alvarju01
12,Victor Alvarez*,25,1,0,1,0,4.35,4,1,1,0,0,0,10.1,9,5,5,1,2,0,7,0,0,0,40,90,1.065,7.8,0.9,1.7,6.1,3.5,90,alvarvi01
13,Wilson Alvarez*,32,11,88,80,0.524,4.03,273,234,7,11,4,2,1508,1404,759,675,166,744,26,1130,40,4,26,6533,112,1.424,8.4,1,4.4,6.7,1.52,112,alvarwi01
14,Brian Anderson*,30,10,61,58,0.513,4.72,218,182,9,8,2,1,1152.2,1275,649,604,197,237,20,549,18,26,17,4833,98,1.312,10,1.5,1.9,4.3,2.32,98,anderbr02
15,Jimmy Anderson*,26,4,24,42,0.364,5.17,102,89,3,3,0,0,520.1,593,323,299,50,220,23,222,24,1,20,2333,87,1.562,10.3,0.9,3.8,3.8,1.01,87,anderji02
16,Matt Anderson,25,5,15,6,0.714,4.84,222,0,95,0,0,23,223.1,205,133,120,22,137,14,207,8,1,19,995,96,1.531,8.3,0.9,5.5,8.3,1.51,96,anderma01
