Rk,Name,Age,Yrs,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,WHIP,H9,HR9,BB9,SO9,SO/W,ERA+,Name-additional
1,David Aardsma,25,3,6,1,0.857,5.16,81,0,21,0,0,0,96,100,57,55,14,55,3,90,4,0,3,437,91,1.615,9.4,1.3,5.2,8.4,1.64,91,aardsda01
2,Winston Abreu,30,2,0,1,0,6.81,33,0,5,0,0,0,38.1,47,31,29,8,15,2,32,1,1,2,175,64,1.617,11,1.9,3.5,7.5,2.13,64,abreuwi01
3,Jeremy Accardo,25,3,7,13,0.35,3.8,157,0,82,0,0,33,166,153,74,70,13,53,8,127,4,2,5,696,118,1.241,8.3,0.7,2.9,6.9,2.4,118,accarje01
4,Manny Acosta,26,1,1,1,0.5,2.28,21,0,5,0,0,0,23.2,13,6,6,2,14,1,22,0,0,1,93,193,1.141,4.9,0.8,5.3,8.4,1.57,193,acostma01
5,Mike Adams,28,3,2,4,0.333,3.54,61,0,20,0,0,1,68.2,66,28,27,8,26,3,54,2,0,3,299,125,1.34,8.7,1,3.4,7.1,2.08,125,adamsmi03
6,Jon Adkins,29,5,4,5,0.444,4.6,115,0,40,0,0,0,135,151,74,69,17,51,9,78,5,0,1,590,97,1.496,10.1,1.1,3.4,5.2,1.53,97,adkinjo01
7,Jeremy Affeldt*,28,6,25,27,0.481,4.74,286,42,71,0,0,18,486,507,283,256,45,224,21,347,16,8,24,2163,102,1.504,9.4,0.8,4.1,6.4,1.55,102,affelje01
8,Jonathan Albaladejo,24,1,1,1,0.5,1.88,14,0,1,0,0,0,14.1,7,3,3,1,2,0,12,1,0,0,51,229,0.628,4.4,0.6,1.3,7.5,6,229,albaljo01
9,Matt Albers,24,2,4,13,0.235,5.87,35,20,2,0,0,0,125.2,144,87,82,19,57,6,82,7,0,7,574,76,1.599,10.3,1.4,4.1,5.9,1.44,76,alberma01
10,Antonio Alfonseca,35,11,35,37,0.486,4.11,592,0,301,0,0,129,613,677,296,280,55,250,45,400,22,2,13,2710,104,1.512,9.9,0.8,3.7,5.9,1.6,104,alfonan01
11,Greg Aquino,29,4,2,4,0.333,4.88,126,0,57,0,0,17,129,133,80,70,21,63,6,123,10,1,10,581,95,1.519,9.3,1.5,4.4,8.6,1.95,95,aquingr01
12,Alberto Arias,23,1,1,0,1,4.91,6,0,0,0,0,0,7.1,8,4,4,1,5,0,3,0,0,0,32,102,1.773,9.8,1.2,6.1,3.7,0.6,102,ariasal02
13,Tony Armas,29,9,52,65,0.444,4.62,182,166,6,0,0,0,917.1,880,512,471,120,430,41,674,51,6,42,4018,95,1.428,8.6,1.2,4.2,6.6,1.57,95,armasto02
